task,measure,ce,bacc,logloss,auc,mcc,xgboost.eta,xgboost.max_depth,xgboost.colsample_bytree,xgboost.colsample_bylevel,xgboost.lambda,xgboost.alpha,xgboost.subsample
churn,bacc,0.035,0.895713900686059,0.169802066372867,0.92290235924137,0.850223871229104,-1.19566538410147,9,0.794234657287598,0.775619930378161,-6.02428017555964,-3.086208804439,0.905501385126263
climate-model-simulation-crashes,bacc,0.0462962962962963,0.922295918367347,0.226011421353066,0.936224489795918,0.754993397779992,-0.231422458789872,5,0.801511819544248,0.868972433567978,-4.95644013496606,-5.41360487551546,0.219257656927221
cmc,bacc,0.391027762456334,0.589075542491102,0.898273913188256,0.767659136027537,0.394738285084734,-0.596449067782786,2,0.81180479915347,0.624952902644873,-3.66755081162658,-0.17959985248828,0.420961668528616
cnae-9,bacc,0.0407407407407407,0.959259259259259,0.493800976480421,0.998360339506173,0.954515042097429,-2.15121825171908,8,0.135639940504916,0.663712024874985,-3.89815687206718,-6.32585830542548,0.911102657718584
connect-4,bacc,0.123096068565749,0.747232302257587,0.337616339571192,0.94296649758609,0.747549447457688,-0.169990918029521,8,0.598798652156256,0.888406965718605,2.95397923723685,-1.50506438929649,0.968514812365174
credit-approval,bacc,0.0956521739130435,0.902086543903182,0.409698718701853,0.928145778009955,0.807087354438973,-0.724266589947329,9,0.602957746013999,0.192116645420901,3.22950100963648,-6.36810308411631,0.187566213496029
credit-g,bacc,0.197,0.760238095238095,0.512206637588009,0.791666666666667,0.529748063040468,-0.101134434327508,2,0.589259593724273,0.579523197840899,3.21797998591539,-5.88013421999189,0.163352073309943
cylinder-bands,bacc,0.172222222222222,0.817786362042586,0.485838930425068,0.881066715542522,0.647517311495449,-1.13700295272305,8,0.568477875785902,0.899064091034234,-2.78052305236664,-3.26037650156233,0.902629148727283
diabetes,bacc,0.18362952836637,0.795675213675214,0.561590028849891,0.827962962962963,0.594376234551604,-1.25168973088878,2,0.900747019192204,0.848639162117615,-3.00061651645275,-6.84685614766292,0.133698526816443
dilbert,bacc,0.0076,0.992454822050601,0.040829723154127,0.999875131726973,0.990515735246737,-1.4997107513408,4,0.239656629087403,0.140585897048004,-6.12629383953387,-3.66970892339128,0.738477035425603
dna,bacc,0.0282486544035015,0.972053197982177,0.126692173246515,0.99546691885116,0.95450189843674,-1.012821058899,5,0.716687330347486,0.141076447512023,1.0368585367356,-1.18366187372307,0.286227513244376
dresses-sales,bacc,0.272,0.719540229885057,0.878483707483146,0.707799671592775,0.445971180072653,-0.00261661489905393,1,0.41389544964768,0.535149694350548,-1.95692012485328,-6.55798726489005,0.239956816262566
electricity,bacc,0.0493246387590207,0.94914074698292,0.133680419418124,0.988691474164706,0.899019777685039,-2.58681974485511,11,0.950551176606677,0.917381404549815,-6.06926318034326,-5.2561716622316,0.977306249248795
eucalyptus,bacc,0.266364309514994,0.708792984792985,0.778421538691663,0.928310093946458,0.66115971008069,-0.173157273810383,2,0.759075415995903,0.645579078025185,0.410794152576038,-0.249442277395785,0.610572500946
fabert,bacc,0.264298416874093,0.714460921045072,0.800795020172752,0.950245114812794,0.683485570012793,-2.19526120758824,9,0.993102302006446,0.803044214169495,-6.14678573982464,-5.03770009031844,0.670404189173132
first-order-theorem-proving,bacc,0.35534295005509,0.539713745485978,1.24531566222596,0.863006608385311,0.519748787086332,-0.837988738982587,10,0.805860492144711,0.887532994523644,2.06343116579871,-5.97438983510939,0.875496832397766
guillermo,bacc,0.14635,0.834143733945475,0.398820934752844,0.912232913675234,0.693472207891699,-2.24802893710786,9,0.96344333011657,0.699489139625803,-2.86095973212028,-4.20295157964842,0.973095563310198
har,bacc,0.00417494598394143,0.995978751857939,0.0171434532003026,0.999946184355328,0.994981704052112,-1.01882529816486,3,0.950791282719001,0.423536147456616,-3.07895821167317,-5.38165118977596,0.924171319650486
higgs,bacc,0.264905660377359,0.733793488495854,0.523890909621458,0.813352448473523,0.46805583090375,-3.14085785734041,10,0.736791659961455,0.686299505038187,4.0011686732672,-4.41680700854499,0.960296370764263
ilpd,bacc,0.226329631794272,0.755233739837398,0.99733156629262,0.772630576620892,0.486837267307137,-0.0168617579881545,1,0.167384602944367,0.689320391765796,-5.61048472762344,-2.85671126139989,0.226015295204707
jannis,bacc,0.271171536360105,0.561433930282377,0.675958809311764,0.864206959952752,0.569865784825892,-2.65726612768833,11,0.94698908443097,0.701253621815704,-6.71559349986329,2.36754725805402,0.824908361863345
jasmine,bacc,0.164223025296851,0.835787472035794,0.424529579678078,0.882561416152426,0.687793720190931,-2.66919452229044,10,0.881894283741713,0.219936576206237,-6.7924697008278,-5.98094136093463,0.731650794832967
jm1,bacc,0.21185332604116,0.634768838916972,0.865143394400314,0.675551666973942,0.286043763116576,-0.613084946082509,8,0.872895712009631,0.505693687312305,-6.40382942047621,-2.44171791433577,0.402562065888196
jungle_chess_2pcs_raw_endgame_complete,bacc,0.127535234543271,0.829748240258901,0.268995687466416,0.975887469407867,0.777905052042745,-0.130831708346624,3,0.974209069181234,0.931022910261527,-1.13579978789944,-3.86558664959744,0.767541398038156
kc1,bacc,0.156479350033852,0.734550208118153,0.907427861229965,0.752646346674009,0.442867140522275,-0.121457317688296,3,0.663008204218932,0.886141118314117,-3.93721382367677,-6.48726809682498,0.364909324492328
kc2,bacc,0.137844702467344,0.849418751979728,0.59247598438727,0.830878735086052,0.637756919569149,-0.414816442848958,11,0.626646522548981,0.316727174306288,-3.96876592050715,-3.12208230042758,0.109254468092695
kr-vs-kp,bacc,0.0028144592476489,0.997193654486692,0.02831591609049,0.999517721522898,0.994402032045533,-0.00480074151646964,8,0.950526896538213,0.962999544176273,-6.72933289009048,-3.98509933975539,0.594027144811116
madelon,bacc,0.121153846153846,0.878846153846154,0.381543355271008,0.928360946745562,0.758141051587251,-3.35337717465971,9,0.853094722842798,0.379460639902391,-4.08038096458075,-5.91735372365598,0.936281221150421
mfeat-factors,bacc,0.02,0.98,0.124545505021275,0.9995,0.9778726552408,-1.42526122870461,1,0.279282875335775,0.179775388725102,-4.5611542442851,-5.57234467613232,0.250196314090863
mfeat-fourier,bacc,0.131,0.869,0.605817209550583,0.988161111111111,0.855025708648332,-2.53602475499015,8,0.389155737939291,0.82153022584971,-3.7567561066919,-6.54147079757889,0.975916832499206
mfeat-karhunen,bacc,0.029,0.971,0.193211095981701,0.999422222222222,0.96791932183495,-1.94621622558134,7,0.443632036123192,0.347315889531281,-5.90576617425494,-2.87200572537055,0.45084641063388
mfeat-morphological,bacc,0.2355,0.7645,0.675255066152577,0.971077777777778,0.740216406885858,-0.601798800695972,1,0.992040604678914,0.854549463326111,-0.688388350972609,-5.02466101188476,0.223158509167843
mfeat-pixel,bacc,0.0155,0.9845,1.43826515351251,0.999783333333333,0.982853917198918,-4.1420390814395,11,0.159430472925305,0.685924627771601,-3.88143352435385,-4.23736741076613,0.960016335360706
mfeat-zernike,bacc,0.176,0.824,0.507041926010472,0.980933333333333,0.805061203041178,-1.41175831067404,2,0.898523500189185,0.846395117300563,-6.29500418186644,-6.81749159194964,0.15338779212907
mnist_784,bacc,0.0179571428571429,0.981926485547482,0.061752125902397,0.9998290259216,0.980045348898586,-2.60122167347049,5,0.4706113508204,0.907834582589567,-4.65205377452648,-2.96748365906261,0.836453969124705
nomao,bacc,0.0233570925014745,0.971274766798365,0.0688961926543438,0.996298793470906,0.942777228629015,-1.81874404321241,6,0.100202181981876,0.94940990714822,-4.53277353089738,-4.4578348132298,0.863240219093859
numerai28.6,bacc,0.472446013289037,0.526518221528695,0.691861304824983,0.529679999289247,0.0542230641135692,-1.20809306926699,1,0.443882726854645,0.822023892705329,5.20820540763016,2.79484624323057,0.314926688489504
optdigits,bacc,0.0128113879003559,0.987216479678821,0.065801893134243,0.999851054302741,0.985790451460248,-1.88164891243873,5,0.359289906336926,0.949897462129593,-0.277466226229577,-2.94872752764537,0.956040039286017
ozone-level-8hr,bacc,0.0694531760605023,0.78515683172003,0.842444935462688,0.820150671027905,0.510039662597736,-0.155200255943519,5,0.764243496744894,0.88266670901794,-3.32685224586884,-2.73510309777425,0.263968153786846
pc1,bacc,0.0676330876330876,0.817253680785234,0.330595182058697,0.82627427184466,0.561649629234067,-0.276170871522947,5,0.917567440471612,0.366165586956777,-5.57827918594287,-5.90331280560449,0.248467546142638
pc3,bacc,0.119002123142251,0.748223784194529,0.638723751043241,0.776537329027356,0.439482772493005,-0.598109778780174,8,0.515903594717383,0.918529047188349,-2.87250470076422,-4.68118792308238,0.204878210346214
pc4,bacc,0.0829900803023146,0.855941074346405,0.332149905756648,0.918304483251634,0.655802787339056,-0.616510741113895,2,0.817677642474882,0.82849587907549,-2.68307830098149,-4.83118706771983,0.177569138118997
pendigits,bacc,0.00536694515675407,0.994638030679652,0.0314706717706468,0.999915382003321,0.994042179365052,-1.22113720913756,4,0.475664254580624,0.744816363090649,-2.30392941942116,-3.09664800915458,0.382245293585584
phoneme,bacc,0.0875265283768056,0.89383709242722,0.231869305177992,0.961173916847888,0.788870480598849,-2.4188097127077,11,0.956291309045628,0.786098196776584,-0.599405228378692,-1.06262945939862,0.697537131002173
qsar-biodeg,bacc,0.0956783468104223,0.892070393374741,0.314924080154549,0.933030612244898,0.786671194769528,-0.733981328862726,3,0.168510238686576,0.137634678394534,-4.49893133250922,-2.94339055688714,0.696773669542745
riccardo,bacc,0.0015,0.999,0.0453610839786807,0.999792933333333,0.996020831333887,-2.31247827315877,10,0.336109447595663,0.401745773712173,3.72028114730845,-1.57210487866169,0.860063836327754
robert,bacc,0.4383,0.562371991252263,1.3354413151579,0.926769361917675,0.513237180848084,-2.19442873230124,5,0.441322833695449,0.167252804641612,-4.16430915441165,-4.31455283705633,0.739533555251546
satimage,bacc,0.0695178849144635,0.914929050774224,0.243128711448672,0.993247242504341,0.914284254615388,-1.14887613472059,4,0.795582310575992,0.946536197210662,-3.95928505632395,-3.94246466798288,0.710460897698067
segment,bacc,0.0489177489177489,0.951082251082251,0.1939078210865,0.996147623420351,0.94319397355764,-1.13830574759714,5,0.703128774673678,0.483101465716027,-3.88595617151769,-6.81521905021639,0.54858027449809
semeion,bacc,0.0376572327044025,0.962208333333333,0.312396566972214,0.998864855664488,0.958431902914809,-2.54423709796303,6,0.145648048142903,0.310658187326044,-2.75526306945271,-5.32670971223828,0.91698487913236
shuttle,bacc,1.72413793103448e-05,0.999996866480745,1.46014265043762,0.999999262701352,0.999951523479986,-4.3407027949172,10,0.940983050363138,0.530061752349138,-4.58910114412141,-4.32817188506776,0.964949946827255
sick,bacc,0.0060986905814492,0.970326701056251,0.325641919992167,0.990415631634728,0.946782306012723,-2.54847820732448,5,0.964873992744833,0.910016300831921,-3.77511888710268,-4.90194051588201,0.944672746537253
spambase,bacc,0.0365099500141469,0.961393651465889,0.127273719193446,0.989194215513663,0.923646483171631,-1.22528194533117,5,0.901460524299182,0.263458401849493,-1.81905881086778,-4.05330146989675,0.883717131637968
splice,bacc,0.0238244514106583,0.974466116916973,0.145870759107632,0.996788677436278,0.961429799506068,-0.981385093657824,6,0.144008591887541,0.948193611903116,2.06747257919984,-3.05888055147121,0.840412962017581
steel-plates-fault,bacc,0.179812318265927,0.833187296875718,0.601430746831432,0.977844388020121,0.768457950181847,-2.04296706561484,9,0.959250486944802,0.861433005752042,-0.615458317685715,-4.78677303792149,0.666312320693396
sylvine,bacc,0.0431309393274854,0.956865576361868,0.190632312271128,0.98609113878777,0.915591844986701,-2.94553154790332,11,0.98260466880165,0.779307600436732,-5.30389581706487,-2.93385034828133,0.889609496621415
tic-tac-toe,bacc,0,1,0.0911534055804332,1,1,-1.28003925861998,3,0.800446646870114,0.579042575112544,-4.4922301251827,-1.43746991143117,0.639754003589042
vehicle,bacc,0.163151260504202,0.838831168831169,0.489449733574319,0.950651275637605,0.783898808159854,-0.40677077185056,2,0.86414600610733,0.716659920685925,-5.3627979276641,-3.73657547431495,0.333060135319829
volkert,bacc,0.26527182301492,0.660836865830555,0.860502777904491,0.961885684293751,0.686470610818026,-1.58286981667505,11,0.848536342987791,0.851017814222723,2.37314525549151,-2.78286804325325,0.998582775657997
wall-robot-navigation,bacc,0.00201498807003394,0.997250777080404,0.0128557480018572,0.99999539062882,0.996967114178959,-0.318755321360928,3,0.946470242529176,0.865979470103048,-1.55876176661449,-6.15980570156347,0.298916043294594
wdbc,bacc,0.0087719298245614,0.988203463203463,0.0943546723827594,0.992602212602213,0.981440719870568,-1.54725933527037,1,0.436944272904657,0.92005670373328,-6.89982911064752,-5.980707016568,0.562465423275717
wilt,bacc,0.0115728145372414,0.952307866400869,0.0615324227093855,0.981976036434938,0.890591133768531,-0.358951448493948,2,0.894405144895427,0.840106214117259,-5.5528268394775,-4.26597511520322,0.226934235938825
APSFailure,logloss,0.00492105263157895,0.896454698421549,0.0156478739156124,0.992743841795609,0.853712329215219,-3.95122832639959,6,0.415734816389158,0.546933958493173,3.1031133216775,-5.71922695352172,0.741761906631291
Amazon_employee_access,logloss,0.0534346015426272,0.5792811336511,0.158977513438758,0.857466827932169,0.309103285585902,-2.92367267204617,11,0.149953720741905,0.579850109666586,-5.47072992801093,-6.36347709807663,0.739834833540954
Australian,logloss,0.107246376811594,0.890182186234818,0.268310346329804,0.952138638573274,0.782942830571661,-1.25355344619592,9,0.69571624530945,0.637986019649543,-0.121329284404492,-4.69758437627855,0.245776383788325
Bioresponse,logloss,0.186885106382979,0.810408061070487,0.420264634774298,0.887617557516026,0.623239882674344,-5.73106524586238,11,0.2187468115706,0.331803686567582,-6.22428589195345,-4.48053541392066,0.694200837449171
CIFAR_10,logloss,0.387116666666667,0.612883333333333,1.1134200772182,0.947944101851852,0.570012125344251,-3.28575642621607,5,0.335411735041998,0.188193088280968,3.63365887380502,-3.89274244379384,0.946963073080406
Fashion-MNIST,logloss,0.0865285714285714,0.913471428571429,0.235421502589961,0.996062199546485,0.903909542731113,-4.16969591446173,5,0.298949190159328,0.613782564294525,0.397251606727473,0.741981813630079,0.898040793510154
GesturePhaseSegmentationProcessed,logloss,0.28663947101797,0.653100499250132,0.760384430439205,0.934200990964418,0.622506624559004,-4.92385324369054,11,0.959096893388778,0.821037237299606,1.54821128427109,-5.74467283447192,0.677878549112938
Internet-Advertisements,logloss,0.0225684343999403,0.933065063213074,0.0795223738444304,0.984241871381094,0.903757406691005,-4.61958032248385,10,0.274571116711013,0.984348022099584,-6.77648993882619,-5.77995556250741,0.756194854271598
KDDCup09_appetency,logloss,0.0178,0.5,0.0846036025643227,0.721697221783705,0,-1.57319751695091,1,0.104016442666762,0.135930482414551,6.42710775837291,-6.34077168524114,0.528774909349158
MiceProtein,logloss,0.0861111111111111,0.912094155844156,0.31906614922693,0.99608576553396,0.902228189168264,-0.14517382612164,9,0.449388768873177,0.513433276023716,-4.10631617887932,-5.00918823312295,0.917584267351776
PhishingWebsites,logloss,0.0257797451989559,0.973307216776227,0.0616389075411697,0.997457692088653,0.947823443451136,-4.12231127476691,11,0.326519365585409,0.729399849823676,-1.19824169085593,-5.89282156475012,0.944322376907803
adult,logloss,0.124728790854686,0.79995421667492,0.27022775717223,0.931621536986627,0.640929711790341,-4.09565282987104,6,0.294609397975728,0.995235665049404,-4.75117638821595,-5.34458816122909,0.922758615668863
analcatdata_authorship,logloss,0.00117647058823529,0.999166666666667,0.011526317423859,1,0.998310896633863,-0.863447427121178,1,0.46761137379799,0.115473703830503,0.0757922557373449,-5.49102617087587,0.970704911882058
analcatdata_dmft,logloss,0.747784810126582,0.24970695970696,1.72096027114158,0.638245110124918,0.102543691345935,-0.075088035684668,1,0.953557819128036,0.147647313098423,-2.51867478948959,-6.88126295279279,0.343769430019893
balance-scale,logloss,0.0176139272913466,0.987274220032841,0.0429280553641313,0.999285714285714,0.970419704185116,-0.0181356092276523,11,0.215130743291229,0.752987774671055,-6.29809895056264,-5.50226699975605,0.993970080651343
bank-marketing,logloss,0.0901771877682027,0.723735923657714,0.192487346350287,0.938508136131732,0.513797305779006,-5.64985590648712,8,0.599950865656138,0.606749714398757,-0.638975017575144,-2.70474402359367,0.925193531089462
banknote-authentication,logloss,0.00145985401459854,0.99852243313201,0.00683579222700042,1,0.997066371674421,-1.39431851954602,2,0.791119410656393,0.830303937103599,-5.59701857778749,-4.74348109345648,0.971553916321136
blood-transfusion-service-center,logloss,0.20581981981982,0.622170622635019,0.451101133566755,0.783149868134388,0.319155313931296,-0.599833354850094,2,0.935333269811235,0.703862297651358,1.11555167613079,-5.0796027692731,0.245083759888075
breast-w,logloss,0.02,0.977037439613527,0.060527632849873,0.996210024154589,0.956352960786441,-0.109101044298697,1,0.914235690119676,0.513031840068288,-4.71615087831743,-5.02687934622412,0.404139861930162
car,logloss,0,1,0.00867447124562228,1,1,-0.0862433975309457,3,0.714041619491763,0.995892346720211,1.22497877056967,-4.95794012805294,0.972570934752002
christine,logloss,0.255821527716201,0.744177941779418,0.513241945761656,0.826717001856365,0.48895663002735,-4.57869850334163,6,0.203747442155145,0.920347096025944,-1.18296015624294,-0.329238025161932,0.985308650438674
churn,logloss,0.041,0.877993551377109,0.13963436110623,0.928407203234586,0.82275290822939,-4.39674127898769,9,0.972894780896604,0.625355293299072,-4.90874145297591,-4.93590247748457,0.937038157088682
climate-model-simulation-crashes,logloss,0.0444444444444444,0.752959183673469,0.107398692448209,0.960729591836735,0.661307633207926,-0.704191808668791,1,0.998760769772343,0.971685910969973,-0.887584343616143,-3.18281083542978,0.686593842273578
cmc,logloss,0.425648097076668,0.551802593358571,0.878763440422047,0.770866353288592,0.338563076791224,-1.60305254310691,2,0.969968746090308,0.928709126752801,-2.06224823063924,-3.4453147144121,0.290868340851739
cnae-9,logloss,0.0583333333333333,0.941666666666667,0.194995479502439,0.997820216049383,0.935019763834002,-0.907508185673787,11,0.176060712593608,0.926982180401683,-4.2497713247092,-4.15440067199157,0.991528879432008
connect-4,logloss,0.122267175729751,0.738752394966761,0.305658696011735,0.947800405953959,0.747859605190659,-2.22174672890329,11,0.642899044952355,0.29077816393692,-3.58438142880979,1.03125724220704,0.99901323793456
credit-approval,logloss,0.127536231884058,0.870959252971138,0.280317270732069,0.949249561040732,0.744029978290656,-0.118358680941358,2,0.834442455903627,0.842393500544131,2.27006229180782,-6.60837663052808,0.907246812526137
credit-g,logloss,0.217,0.717380952380952,0.467116022469049,0.817619047619048,0.459810175173094,-0.0642084264521983,3,0.340433702035807,0.905535351741128,3.82252861524805,-5.94509326058897,0.268113653874025
cylinder-bands,logloss,0.177777777777778,0.807549725870203,0.393117593832653,0.89984221598878,0.635339584901242,-2.13313870268966,11,0.145415609166957,0.481565077323467,-2.03096658534356,-4.11396764966927,0.881594197568484
diabetes,logloss,0.213550922761449,0.751165242165242,0.450491403072603,0.851538461538462,0.520583735239689,-0.355255082910915,1,0.566963396011852,0.976252607977949,-0.57380999724466,-3.64423593874414,0.509734779479913
dilbert,logloss,0.008,0.992019910480704,0.0262178686924159,0.999932629868933,0.990020926061997,-3.55402853225205,4,0.202712602540851,0.212117197434418,-4.65211364326698,-4.75322714991204,0.785234065307304
dna,logloss,0.0310729283728633,0.96694086439172,0.102404738546472,0.996479628853835,0.94977258536212,-4.14268500409703,9,0.346152706840076,0.12893766365014,0.749328694321876,-3.07871294991425,0.894669087883085
dresses-sales,logloss,0.354,0.612068965517241,0.622515326439912,0.685221674876847,0.248592412554851,-0.272001474696463,6,0.128097320022061,0.888234194996767,2.55944361329996,-4.58870890286756,0.153642123169266
electricity,logloss,0.0500750103776612,0.94841368902071,0.128559443794284,0.989483174726389,0.897493059395471,-4.08868290158055,11,0.998839631327428,0.926328117446974,-4.35850565688896,-2.78525773626142,0.986446171510033
eucalyptus,logloss,0.304535357275083,0.655931401931402,0.706226062632901,0.93008176671813,0.61198928865042,-2.34664165646737,3,0.854370986204594,0.355611599911936,-0.837350877310642,-2.63484745562577,0.717868157569319
fabert,logloss,0.270491571211174,0.706771561130307,0.767945623616146,0.951971581552958,0.676078741898932,-5.13346967336395,11,0.905996314086951,0.34938383998815,-3.49406964606442,-6.06814719704091,0.857630596030504
first-order-theorem-proving,logloss,0.363681899382775,0.514274101080243,1.03137843729029,0.869124473439237,0.503763271086908,-6.00440238662674,11,0.831798432325013,0.86082059876062,-5.97006101508377,-6.12176990891703,0.632029183791019
guillermo,logloss,0.1506,0.826941654588353,0.350840187564965,0.918597866767321,0.685507926957896,-5.57894247864116,9,0.791373947681859,0.980777353141457,-6.64154406073269,0.991807081124672,0.932665749033913
har,logloss,0.00543745931104758,0.99482179697169,0.0140514123881358,0.999963917372014,0.99346569780688,-1.79256194755945,3,0.688240874093026,0.496621349593625,-5.75548055746902,-4.78143016456607,0.8670968526043
higgs,logloss,0.264742478327384,0.734014522236298,0.519586710416765,0.816604787785603,0.468432427948849,-5.44481074722498,11,0.856680868566036,0.731590906344354,-0.286891104198056,1.61880867870037,0.905735562508926
