nrow,nfeatures,n_blocks,d_token,residual_dropout,attention_dropout,ffn_dropout,ffn_d_hidden_multiplier,lr,weight_decay,epochs,rss_kb,rss_mib
100,1,4,64,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,702528,686.06250000000000000000
1000,1,4,64,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,770672,752.60937500000000000000
5000,1,4,64,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,819968,800.75000000000000000000
10000,1,4,64,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,832400,812.89062500000000000000
50000,1,4,64,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,837712,818.07812500000000000000
1e+05,1,4,64,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,830000,810.54687500000000000000
100,10,4,64,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,756176,738.45312500000000000000
1000,10,4,64,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,864864,844.59375000000000000000
5000,10,4,64,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,855872,835.81250000000000000000
10000,10,4,64,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,903632,882.45312500000000000000
50000,10,4,64,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,845520,825.70312500000000000000
1e+05,10,4,64,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,884880,864.14062500000000000000
100,50,4,64,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,830560,811.09375000000000000000
1000,50,4,64,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,993760,970.46875000000000000000
5000,50,4,64,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,954624,932.25000000000000000000
10000,50,4,64,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,950240,927.96875000000000000000
50000,50,4,64,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1039840,1015.46875000000000000000
1e+05,50,4,64,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1016128,992.31250000000000000000
100,100,4,64,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,883168,862.46875000000000000000
1000,100,4,64,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1055312,1030.57812500000000000000
5000,100,4,64,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1072672,1047.53125000000000000000
10000,100,4,64,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1038112,1013.78125000000000000000
50000,100,4,64,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1211088,1182.70312500000000000000
1e+05,100,4,64,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1184112,1156.35937500000000000000
100,500,4,64,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1005088,981.53125000000000000000
1000,500,4,64,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1070240,1045.15625000000000000000
5000,500,4,64,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1176480,1148.90625000000000000000
10000,500,4,64,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1170576,1143.14062500000000000000
50000,500,4,64,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1225744,1197.01562500000000000000
1e+05,500,4,64,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1279456,1249.46875000000000000000
100,1000,4,64,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,886000,865.23437500000000000000
1000,1000,4,64,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1061904,1037.01562500000000000000
5000,1000,4,64,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1161568,1134.34375000000000000000
10000,1000,4,64,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1208384,1180.06250000000000000000
50000,1000,4,64,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1253312,1223.93750000000000000000
1e+05,1000,4,64,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1255728,1226.29687500000000000000
100,1,4,128,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,736976,719.70312500000000000000
1000,1,4,128,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,849360,829.45312500000000000000
5000,1,4,128,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,862256,842.04687500000000000000
10000,1,4,128,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,833152,813.62500000000000000000
50000,1,4,128,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,856096,836.03125000000000000000
1e+05,1,4,128,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,854496,834.46875000000000000000
100,10,4,128,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,743008,725.59375000000000000000
1000,10,4,128,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,874256,853.76562500000000000000
5000,10,4,128,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,907952,886.67187500000000000000
10000,10,4,128,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,906208,884.96875000000000000000
50000,10,4,128,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,932624,910.76562500000000000000
1e+05,10,4,128,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,905264,884.04687500000000000000
100,50,4,128,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,919968,898.40625000000000000000
1000,50,4,128,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1079456,1054.15625000000000000000
5000,50,4,128,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1031664,1007.48437500000000000000
10000,50,4,128,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1078912,1053.62500000000000000000
50000,50,4,128,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1034320,1010.07812500000000000000
1e+05,50,4,128,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1130880,1104.37500000000000000000
100,100,4,128,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,958032,935.57812500000000000000
1000,100,4,128,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1101824,1076.00000000000000000000
5000,100,4,128,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1190848,1162.93750000000000000000
10000,100,4,128,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1270000,1240.23437500000000000000
50000,100,4,128,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1278864,1248.89062500000000000000
1e+05,100,4,128,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1312016,1281.26562500000000000000
100,500,4,128,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1041664,1017.25000000000000000000
1000,500,4,128,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1186240,1158.43750000000000000000
5000,500,4,128,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1353120,1321.40625000000000000000
10000,500,4,128,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1264000,1234.37500000000000000000
50000,500,4,128,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1347872,1316.28125000000000000000
1e+05,500,4,128,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1463392,1429.09375000000000000000
100,1000,4,128,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1017968,994.10937500000000000000
1000,1000,4,128,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1204544,1176.31250000000000000000
5000,1000,4,128,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1350208,1318.56250000000000000000
10000,1000,4,128,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1325696,1294.62500000000000000000
50000,1000,4,128,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1381152,1348.78125000000000000000
1e+05,1000,4,128,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1456432,1422.29687500000000000000
100,1,4,256,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,776384,758.18750000000000000000
1000,1,4,256,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,889808,868.95312500000000000000
5000,1,4,256,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,928976,907.20312500000000000000
10000,1,4,256,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,889680,868.82812500000000000000
50000,1,4,256,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,925840,904.14062500000000000000
1e+05,1,4,256,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,890912,870.03125000000000000000
100,10,4,256,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,824272,804.95312500000000000000
1000,10,4,256,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,959696,937.20312500000000000000
5000,10,4,256,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,929200,907.42187500000000000000
10000,10,4,256,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,975952,953.07812500000000000000
50000,10,4,256,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,988240,965.07812500000000000000
1e+05,10,4,256,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1036928,1012.62500000000000000000
100,50,4,256,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,986704,963.57812500000000000000
1000,50,4,256,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1270816,1241.03125000000000000000
5000,50,4,256,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1182480,1154.76562500000000000000
10000,50,4,256,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1179392,1151.75000000000000000000
50000,50,4,256,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1334992,1303.70312500000000000000
1e+05,50,4,256,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1320192,1289.25000000000000000000
100,100,4,256,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1110736,1084.70312500000000000000
1000,100,4,256,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1411888,1378.79687500000000000000
5000,100,4,256,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1437744,1404.04687500000000000000
10000,100,4,256,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1555792,1519.32812500000000000000
50000,100,4,256,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1566496,1529.78125000000000000000
1e+05,100,4,256,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1512080,1476.64062500000000000000
100,500,4,256,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1227584,1198.81250000000000000000
1000,500,4,256,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1538608,1502.54687500000000000000
5000,500,4,256,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1690944,1651.31250000000000000000
10000,500,4,256,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1592256,1554.93750000000000000000
50000,500,4,256,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1665024,1626.00000000000000000000
1e+05,500,4,256,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1698272,1658.46875000000000000000
100,1000,4,256,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1536976,1500.95312500000000000000
1000,1000,4,256,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1576800,1539.84375000000000000000
5000,1000,4,256,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1705136,1665.17187500000000000000
10000,1000,4,256,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1559520,1522.96875000000000000000
50000,1000,4,256,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1634832,1596.51562500000000000000
1e+05,1000,4,256,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1698768,1658.95312500000000000000
100,1,4,512,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,922160,900.54687500000000000000
1000,1,4,512,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1022912,998.93750000000000000000
5000,1,4,512,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1027728,1003.64062500000000000000
10000,1,4,512,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,989216,966.03125000000000000000
50000,1,4,512,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,984896,961.81250000000000000000
1e+05,1,4,512,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1001824,978.34375000000000000000
100,10,4,512,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,975504,952.64062500000000000000
1000,10,4,512,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1089360,1063.82812500000000000000
5000,10,4,512,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1099968,1074.18750000000000000000
10000,10,4,512,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1086496,1061.03125000000000000000
50000,10,4,512,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1182512,1154.79687500000000000000
1e+05,10,4,512,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1190656,1162.75000000000000000000
100,50,4,512,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1411408,1378.32812500000000000000
1000,50,4,512,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1484880,1450.07812500000000000000
5000,50,4,512,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1664992,1625.96875000000000000000
10000,50,4,512,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1586208,1549.03125000000000000000
50000,50,4,512,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1616592,1578.70312500000000000000
1e+05,50,4,512,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1634864,1596.54687500000000000000
100,100,4,512,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1345952,1314.40625000000000000000
1000,100,4,512,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1674432,1635.18750000000000000000
5000,100,4,512,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1805728,1763.40625000000000000000
10000,100,4,512,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1820640,1777.96875000000000000000
50000,100,4,512,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1788608,1746.68750000000000000000
1e+05,100,4,512,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1790992,1749.01562500000000000000
100,500,4,512,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1773200,1731.64062500000000000000
1000,500,4,512,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1863168,1819.50000000000000000000
5000,500,4,512,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1868736,1824.93750000000000000000
10000,500,4,512,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1983424,1936.93750000000000000000
50000,500,4,512,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,2031056,1983.45312500000000000000
1e+05,500,4,512,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,2376928,2321.21875000000000000000
100,1000,4,512,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1684016,1644.54687500000000000000
1000,1000,4,512,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1761424,1720.14062500000000000000
5000,1000,4,512,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1960688,1914.73437500000000000000
10000,1000,4,512,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,2020832,1973.46875000000000000000
