"","nrow","nfeatures","n_blocks","d_token","residual_dropout","attention_dropout","ffn_dropout","ffn_d_hidden_multiplier","lr","weight_decay","epochs"
"271",100,100,4,512,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"272",1000,100,4,512,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"273",5000,100,4,512,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"274",10000,100,4,512,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"275",50000,100,4,512,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"276",1e+05,100,4,512,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"277",100,500,4,512,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"278",1000,500,4,512,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"279",5000,500,4,512,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"280",10000,500,4,512,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"281",50000,500,4,512,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"282",1e+05,500,4,512,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"283",100,1000,4,512,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"284",1000,1000,4,512,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"285",5000,1000,4,512,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"286",10000,1000,4,512,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"287",50000,1000,4,512,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"288",1e+05,1000,4,512,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"289",100,1,4,64,0.1,0.2,0.2,2,1e-05,1e-06,10
"290",1000,1,4,64,0.1,0.2,0.2,2,1e-05,1e-06,10
"291",5000,1,4,64,0.1,0.2,0.2,2,1e-05,1e-06,10
"292",10000,1,4,64,0.1,0.2,0.2,2,1e-05,1e-06,10
"293",50000,1,4,64,0.1,0.2,0.2,2,1e-05,1e-06,10
"294",1e+05,1,4,64,0.1,0.2,0.2,2,1e-05,1e-06,10
"295",100,10,4,64,0.1,0.2,0.2,2,1e-05,1e-06,10
"296",1000,10,4,64,0.1,0.2,0.2,2,1e-05,1e-06,10
"297",5000,10,4,64,0.1,0.2,0.2,2,1e-05,1e-06,10
"298",10000,10,4,64,0.1,0.2,0.2,2,1e-05,1e-06,10
"299",50000,10,4,64,0.1,0.2,0.2,2,1e-05,1e-06,10
"300",1e+05,10,4,64,0.1,0.2,0.2,2,1e-05,1e-06,10
"301",100,50,4,64,0.1,0.2,0.2,2,1e-05,1e-06,10
"302",1000,50,4,64,0.1,0.2,0.2,2,1e-05,1e-06,10
"303",5000,50,4,64,0.1,0.2,0.2,2,1e-05,1e-06,10
"304",10000,50,4,64,0.1,0.2,0.2,2,1e-05,1e-06,10
"305",50000,50,4,64,0.1,0.2,0.2,2,1e-05,1e-06,10
"306",1e+05,50,4,64,0.1,0.2,0.2,2,1e-05,1e-06,10
"307",100,100,4,64,0.1,0.2,0.2,2,1e-05,1e-06,10
"308",1000,100,4,64,0.1,0.2,0.2,2,1e-05,1e-06,10
"309",5000,100,4,64,0.1,0.2,0.2,2,1e-05,1e-06,10
"310",10000,100,4,64,0.1,0.2,0.2,2,1e-05,1e-06,10
"311",50000,100,4,64,0.1,0.2,0.2,2,1e-05,1e-06,10
"312",1e+05,100,4,64,0.1,0.2,0.2,2,1e-05,1e-06,10
"313",100,500,4,64,0.1,0.2,0.2,2,1e-05,1e-06,10
"314",1000,500,4,64,0.1,0.2,0.2,2,1e-05,1e-06,10
"315",5000,500,4,64,0.1,0.2,0.2,2,1e-05,1e-06,10
"316",10000,500,4,64,0.1,0.2,0.2,2,1e-05,1e-06,10
"317",50000,500,4,64,0.1,0.2,0.2,2,1e-05,1e-06,10
"318",1e+05,500,4,64,0.1,0.2,0.2,2,1e-05,1e-06,10
"319",100,1000,4,64,0.1,0.2,0.2,2,1e-05,1e-06,10
"320",1000,1000,4,64,0.1,0.2,0.2,2,1e-05,1e-06,10
"321",5000,1000,4,64,0.1,0.2,0.2,2,1e-05,1e-06,10
"322",10000,1000,4,64,0.1,0.2,0.2,2,1e-05,1e-06,10
"323",50000,1000,4,64,0.1,0.2,0.2,2,1e-05,1e-06,10
"324",1e+05,1000,4,64,0.1,0.2,0.2,2,1e-05,1e-06,10
"325",100,1,4,128,0.1,0.2,0.2,2,1e-05,1e-06,10
"326",1000,1,4,128,0.1,0.2,0.2,2,1e-05,1e-06,10
"327",5000,1,4,128,0.1,0.2,0.2,2,1e-05,1e-06,10
"328",10000,1,4,128,0.1,0.2,0.2,2,1e-05,1e-06,10
"329",50000,1,4,128,0.1,0.2,0.2,2,1e-05,1e-06,10
"330",1e+05,1,4,128,0.1,0.2,0.2,2,1e-05,1e-06,10
"331",100,10,4,128,0.1,0.2,0.2,2,1e-05,1e-06,10
"332",1000,10,4,128,0.1,0.2,0.2,2,1e-05,1e-06,10
"333",5000,10,4,128,0.1,0.2,0.2,2,1e-05,1e-06,10
"334",10000,10,4,128,0.1,0.2,0.2,2,1e-05,1e-06,10
"335",50000,10,4,128,0.1,0.2,0.2,2,1e-05,1e-06,10
"336",1e+05,10,4,128,0.1,0.2,0.2,2,1e-05,1e-06,10
"337",100,50,4,128,0.1,0.2,0.2,2,1e-05,1e-06,10
"338",1000,50,4,128,0.1,0.2,0.2,2,1e-05,1e-06,10
"339",5000,50,4,128,0.1,0.2,0.2,2,1e-05,1e-06,10
"340",10000,50,4,128,0.1,0.2,0.2,2,1e-05,1e-06,10
"341",50000,50,4,128,0.1,0.2,0.2,2,1e-05,1e-06,10
"342",1e+05,50,4,128,0.1,0.2,0.2,2,1e-05,1e-06,10
"343",100,100,4,128,0.1,0.2,0.2,2,1e-05,1e-06,10
"344",1000,100,4,128,0.1,0.2,0.2,2,1e-05,1e-06,10
"345",5000,100,4,128,0.1,0.2,0.2,2,1e-05,1e-06,10
"346",10000,100,4,128,0.1,0.2,0.2,2,1e-05,1e-06,10
"347",50000,100,4,128,0.1,0.2,0.2,2,1e-05,1e-06,10
"348",1e+05,100,4,128,0.1,0.2,0.2,2,1e-05,1e-06,10
"349",100,500,4,128,0.1,0.2,0.2,2,1e-05,1e-06,10
"350",1000,500,4,128,0.1,0.2,0.2,2,1e-05,1e-06,10
"351",5000,500,4,128,0.1,0.2,0.2,2,1e-05,1e-06,10
"352",10000,500,4,128,0.1,0.2,0.2,2,1e-05,1e-06,10
"353",50000,500,4,128,0.1,0.2,0.2,2,1e-05,1e-06,10
"354",1e+05,500,4,128,0.1,0.2,0.2,2,1e-05,1e-06,10
"355",100,1000,4,128,0.1,0.2,0.2,2,1e-05,1e-06,10
"356",1000,1000,4,128,0.1,0.2,0.2,2,1e-05,1e-06,10
"357",5000,1000,4,128,0.1,0.2,0.2,2,1e-05,1e-06,10
"358",10000,1000,4,128,0.1,0.2,0.2,2,1e-05,1e-06,10
"359",50000,1000,4,128,0.1,0.2,0.2,2,1e-05,1e-06,10
"360",1e+05,1000,4,128,0.1,0.2,0.2,2,1e-05,1e-06,10
"361",100,1,4,256,0.1,0.2,0.2,2,1e-05,1e-06,10
"362",1000,1,4,256,0.1,0.2,0.2,2,1e-05,1e-06,10
"363",5000,1,4,256,0.1,0.2,0.2,2,1e-05,1e-06,10
"364",10000,1,4,256,0.1,0.2,0.2,2,1e-05,1e-06,10
"365",50000,1,4,256,0.1,0.2,0.2,2,1e-05,1e-06,10
"366",1e+05,1,4,256,0.1,0.2,0.2,2,1e-05,1e-06,10
"367",100,10,4,256,0.1,0.2,0.2,2,1e-05,1e-06,10
"368",1000,10,4,256,0.1,0.2,0.2,2,1e-05,1e-06,10
"369",5000,10,4,256,0.1,0.2,0.2,2,1e-05,1e-06,10
"370",10000,10,4,256,0.1,0.2,0.2,2,1e-05,1e-06,10
"371",50000,10,4,256,0.1,0.2,0.2,2,1e-05,1e-06,10
"372",1e+05,10,4,256,0.1,0.2,0.2,2,1e-05,1e-06,10
"373",100,50,4,256,0.1,0.2,0.2,2,1e-05,1e-06,10
"374",1000,50,4,256,0.1,0.2,0.2,2,1e-05,1e-06,10
"375",5000,50,4,256,0.1,0.2,0.2,2,1e-05,1e-06,10
"376",10000,50,4,256,0.1,0.2,0.2,2,1e-05,1e-06,10
"377",50000,50,4,256,0.1,0.2,0.2,2,1e-05,1e-06,10
"378",1e+05,50,4,256,0.1,0.2,0.2,2,1e-05,1e-06,10
"379",100,100,4,256,0.1,0.2,0.2,2,1e-05,1e-06,10
"380",1000,100,4,256,0.1,0.2,0.2,2,1e-05,1e-06,10
"381",5000,100,4,256,0.1,0.2,0.2,2,1e-05,1e-06,10
"382",10000,100,4,256,0.1,0.2,0.2,2,1e-05,1e-06,10
"383",50000,100,4,256,0.1,0.2,0.2,2,1e-05,1e-06,10
"384",1e+05,100,4,256,0.1,0.2,0.2,2,1e-05,1e-06,10
"385",100,500,4,256,0.1,0.2,0.2,2,1e-05,1e-06,10
"386",1000,500,4,256,0.1,0.2,0.2,2,1e-05,1e-06,10
"387",5000,500,4,256,0.1,0.2,0.2,2,1e-05,1e-06,10
"388",10000,500,4,256,0.1,0.2,0.2,2,1e-05,1e-06,10
"389",50000,500,4,256,0.1,0.2,0.2,2,1e-05,1e-06,10
"390",1e+05,500,4,256,0.1,0.2,0.2,2,1e-05,1e-06,10
"391",100,1000,4,256,0.1,0.2,0.2,2,1e-05,1e-06,10
"392",1000,1000,4,256,0.1,0.2,0.2,2,1e-05,1e-06,10
"393",5000,1000,4,256,0.1,0.2,0.2,2,1e-05,1e-06,10
"394",10000,1000,4,256,0.1,0.2,0.2,2,1e-05,1e-06,10
"395",50000,1000,4,256,0.1,0.2,0.2,2,1e-05,1e-06,10
"396",1e+05,1000,4,256,0.1,0.2,0.2,2,1e-05,1e-06,10
"397",100,1,4,512,0.1,0.2,0.2,2,1e-05,1e-06,10
"398",1000,1,4,512,0.1,0.2,0.2,2,1e-05,1e-06,10
"399",5000,1,4,512,0.1,0.2,0.2,2,1e-05,1e-06,10
"400",10000,1,4,512,0.1,0.2,0.2,2,1e-05,1e-06,10
"401",50000,1,4,512,0.1,0.2,0.2,2,1e-05,1e-06,10
"402",1e+05,1,4,512,0.1,0.2,0.2,2,1e-05,1e-06,10
"403",100,10,4,512,0.1,0.2,0.2,2,1e-05,1e-06,10
"404",1000,10,4,512,0.1,0.2,0.2,2,1e-05,1e-06,10
"405",5000,10,4,512,0.1,0.2,0.2,2,1e-05,1e-06,10
"406",10000,10,4,512,0.1,0.2,0.2,2,1e-05,1e-06,10
"407",50000,10,4,512,0.1,0.2,0.2,2,1e-05,1e-06,10
"408",1e+05,10,4,512,0.1,0.2,0.2,2,1e-05,1e-06,10
"409",100,50,4,512,0.1,0.2,0.2,2,1e-05,1e-06,10
"410",1000,50,4,512,0.1,0.2,0.2,2,1e-05,1e-06,10
"411",5000,50,4,512,0.1,0.2,0.2,2,1e-05,1e-06,10
"412",10000,50,4,512,0.1,0.2,0.2,2,1e-05,1e-06,10
"413",50000,50,4,512,0.1,0.2,0.2,2,1e-05,1e-06,10
"414",1e+05,50,4,512,0.1,0.2,0.2,2,1e-05,1e-06,10
"415",100,100,4,512,0.1,0.2,0.2,2,1e-05,1e-06,10
"416",1000,100,4,512,0.1,0.2,0.2,2,1e-05,1e-06,10
"417",5000,100,4,512,0.1,0.2,0.2,2,1e-05,1e-06,10
"418",10000,100,4,512,0.1,0.2,0.2,2,1e-05,1e-06,10
"419",50000,100,4,512,0.1,0.2,0.2,2,1e-05,1e-06,10
"420",1e+05,100,4,512,0.1,0.2,0.2,2,1e-05,1e-06,10
"421",100,500,4,512,0.1,0.2,0.2,2,1e-05,1e-06,10
"422",1000,500,4,512,0.1,0.2,0.2,2,1e-05,1e-06,10
"423",5000,500,4,512,0.1,0.2,0.2,2,1e-05,1e-06,10
"424",10000,500,4,512,0.1,0.2,0.2,2,1e-05,1e-06,10
"425",50000,500,4,512,0.1,0.2,0.2,2,1e-05,1e-06,10
"426",1e+05,500,4,512,0.1,0.2,0.2,2,1e-05,1e-06,10
"427",100,1000,4,512,0.1,0.2,0.2,2,1e-05,1e-06,10
"428",1000,1000,4,512,0.1,0.2,0.2,2,1e-05,1e-06,10
"429",5000,1000,4,512,0.1,0.2,0.2,2,1e-05,1e-06,10
"430",10000,1000,4,512,0.1,0.2,0.2,2,1e-05,1e-06,10
"431",50000,1000,4,512,0.1,0.2,0.2,2,1e-05,1e-06,10
"432",1e+05,1000,4,512,0.1,0.2,0.2,2,1e-05,1e-06,10
"433",100,1,4,64,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"434",1000,1,4,64,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"435",5000,1,4,64,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"436",10000,1,4,64,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"437",50000,1,4,64,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"438",1e+05,1,4,64,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"439",100,10,4,64,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"440",1000,10,4,64,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"441",5000,10,4,64,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"442",10000,10,4,64,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"443",50000,10,4,64,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"444",1e+05,10,4,64,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"445",100,50,4,64,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"446",1000,50,4,64,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"447",5000,50,4,64,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"448",10000,50,4,64,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"449",50000,50,4,64,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"450",1e+05,50,4,64,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"451",100,100,4,64,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"452",1000,100,4,64,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"453",5000,100,4,64,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"454",10000,100,4,64,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"455",50000,100,4,64,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"456",1e+05,100,4,64,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"457",100,500,4,64,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"458",1000,500,4,64,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"459",5000,500,4,64,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"460",10000,500,4,64,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"461",50000,500,4,64,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"462",1e+05,500,4,64,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"463",100,1000,4,64,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"464",1000,1000,4,64,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"465",5000,1000,4,64,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"466",10000,1000,4,64,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"467",50000,1000,4,64,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"468",1e+05,1000,4,64,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"469",100,1,4,128,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"470",1000,1,4,128,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"471",5000,1,4,128,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"472",10000,1,4,128,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"473",50000,1,4,128,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"474",1e+05,1,4,128,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"475",100,10,4,128,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"476",1000,10,4,128,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"477",5000,10,4,128,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"478",10000,10,4,128,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"479",50000,10,4,128,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"480",1e+05,10,4,128,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"481",100,50,4,128,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"482",1000,50,4,128,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"483",5000,50,4,128,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"484",10000,50,4,128,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"485",50000,50,4,128,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"486",1e+05,50,4,128,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"487",100,100,4,128,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"488",1000,100,4,128,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"489",5000,100,4,128,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"490",10000,100,4,128,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"491",50000,100,4,128,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"492",1e+05,100,4,128,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"493",100,500,4,128,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"494",1000,500,4,128,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"495",5000,500,4,128,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"496",10000,500,4,128,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"497",50000,500,4,128,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"498",1e+05,500,4,128,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"499",100,1000,4,128,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"500",1000,1000,4,128,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"501",5000,1000,4,128,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"502",10000,1000,4,128,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"503",50000,1000,4,128,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"504",1e+05,1000,4,128,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"505",100,1,4,256,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"506",1000,1,4,256,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"507",5000,1,4,256,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"508",10000,1,4,256,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"509",50000,1,4,256,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"510",1e+05,1,4,256,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"511",100,10,4,256,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"512",1000,10,4,256,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"513",5000,10,4,256,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"514",10000,10,4,256,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"515",50000,10,4,256,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"516",1e+05,10,4,256,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"517",100,50,4,256,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"518",1000,50,4,256,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"519",5000,50,4,256,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"520",10000,50,4,256,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"521",50000,50,4,256,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"522",1e+05,50,4,256,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"523",100,100,4,256,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"524",1000,100,4,256,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"525",5000,100,4,256,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"526",10000,100,4,256,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"527",50000,100,4,256,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"528",1e+05,100,4,256,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"529",100,500,4,256,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"530",1000,500,4,256,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"531",5000,500,4,256,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"532",10000,500,4,256,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"533",50000,500,4,256,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"534",1e+05,500,4,256,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"535",100,1000,4,256,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"536",1000,1000,4,256,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"537",5000,1000,4,256,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"538",10000,1000,4,256,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"539",50000,1000,4,256,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"540",1e+05,1000,4,256,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"541",100,1,4,512,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"542",1000,1,4,512,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"543",5000,1,4,512,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"544",10000,1,4,512,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"545",50000,1,4,512,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"546",1e+05,1,4,512,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"547",100,10,4,512,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"548",1000,10,4,512,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"549",5000,10,4,512,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"550",10000,10,4,512,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"551",50000,10,4,512,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"552",1e+05,10,4,512,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"553",100,50,4,512,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"554",1000,50,4,512,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"555",5000,50,4,512,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"556",10000,50,4,512,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"557",50000,50,4,512,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"558",1e+05,50,4,512,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"559",100,100,4,512,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"560",1000,100,4,512,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"561",5000,100,4,512,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"562",10000,100,4,512,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"563",50000,100,4,512,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"564",1e+05,100,4,512,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"565",100,500,4,512,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"566",1000,500,4,512,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"567",5000,500,4,512,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"568",10000,500,4,512,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"569",50000,500,4,512,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"570",1e+05,500,4,512,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"571",100,1000,4,512,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"572",1000,1000,4,512,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"573",5000,1000,4,512,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"574",10000,1000,4,512,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"575",50000,1000,4,512,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
"576",1e+05,1000,4,512,0.1,0.2,0.2,2.66666666666667,1e-05,1e-06,10
